Abdisalam Aato
J. J. Abrams
Moustapha Akkad
Judd Apatow
Avi Arad
Drew Barrymore
Lawrence Bender
Armyan Bernstein
Albert R. Broccoli
Mel Brooks
Jerry Bruckheimer
Sandra Bullock
Tim Burton
Mark Burnett
Jim Carrey
Yash Chopra
Raymond Chow
Ethan Coen
Tom Cruise
Dean Devlin
Lorenzo di Bonaventura
Leonardo DiCaprio
Michael Douglas
Eric Eisner
Nora Ephron
Robert Evans
Chantal Feghali
Buzz Feitshans
Ted Field
Peter Fonda
Mel Gibson
Richard N. Gladstein
Charles Gordon
Brian Grazer
Matt Groening
Paul Haggis
Tom Hanks
Katherine Heigl
Nancy Heigl
David Heyman
Peter Jackson
Shintaro Katsu
Howard Kazanjian
Kathleen Kennedy
Alexander Korda
Stanley Kubrick
Gary Kurtz
J. F. Lawton
Spike Lee
George Lucas
Branko Lustig
Charlie Lyons
Eric Manes
Frank Marshall
W. David McBrayer
Rick McCallum
Aaron Meyerson
Arnon Milchan
Walter Mirisch
Hayao Miyazaki
Scott Mosier
